x	y	C
3	227	3
4	227	3
5	227	3
6	227	3
7	227	5
0	228	2
1	228	6
2	228	3
3	228	3
4	228	5
5	228	5
6	228	5
7	228	5
0	229	2
1	229	6
2	229	3
3	229	3
4	229	3
5	229	5
6	229	6
7	229	3
0	230	2
1	230	6
2	230	3
3	230	3
4	230	3
5	230	5
6	230	5
7	230	5
0	231	2
1	231	6
2	231	3
3	231	3
4	231	6
5	231	3
6	231	5
7	231	5
0	232	2
1	232	6
2	232	3
3	232	3
4	232	5
5	232	6
6	232	3
7	232	5
0	233	2
1	233	6
2	233	5
3	233	3
4	233	5
5	233	5
6	233	5
7	233	6
0	234	2
1	234	6
2	234	5
3	234	3
4	234	5
5	234	5
6	234	5
7	234	4
0	235	2
1	235	6
2	235	5
3	235	3
4	235	3
5	235	6
6	235	5
7	235	5
0	236	2
1	236	6
2	236	5
3	236	3
4	236	3
5	236	5
6	236	6
7	236	5
0	237	2
1	237	6
2	237	5
3	237	3
4	237	3
5	237	5
6	237	6
7	237	3
0	238	2
1	238	6
2	238	5
3	238	3
4	238	6
5	238	3
6	238	5
7	238	6
0	239	2
1	239	6
2	239	5
3	239	3
4	239	5
5	239	6
6	239	5
7	239	3
0	240	2
1	240	6
2	240	5
3	240	3
4	240	5
5	240	4
6	240	5
7	240	5
0	241	2
1	241	6
2	241	5
3	241	3
4	241	4
5	241	5
6	241	5
7	241	5
0	242	2
1	242	6
2	242	6
3	242	3
4	242	3
5	242	3
6	242	5
7	242	6
0	243	2
1	243	6
2	243	5
3	243	5
4	243	5
5	243	5
6	243	5
7	243	5
0	244	2
1	244	6
2	244	6
3	244	3
4	244	3
5	244	6
6	244	5
7	244	5
0	245	2
1	245	6
2	245	6
3	245	3
4	245	3
5	245	5
6	245	6
7	245	5
0	246	3
1	246	5
2	246	5
3	246	5
4	246	3
5	246	6
6	246	3
7	246	5
0	247	3
1	247	5
2	247	5
3	247	3
4	247	6
5	247	3
6	247	5
7	247	6
0	248	3
1	248	6
2	248	3
3	248	3
4	248	3
5	248	6
6	248	5
7	248	5
0	249	3
1	249	6
2	249	3
3	249	3
4	249	3
5	249	5
6	249	6
7	249	3
0	250	5
1	250	3
2	250	3
3	250	5
4	250	6
5	250	3
6	250	5
7	250	6
0	251	6
1	251	2
2	251	3
3	251	3
4	251	3
5	251	6
6	251	5
7	251	3
0	252	6
1	252	2
2	252	3
3	252	3
4	252	3
5	252	5
6	252	6
7	252	3
0	253	6
1	253	2
2	253	3
3	253	3
4	253	3
5	253	5
6	253	5
7	253	6
0	254	6
1	254	2
2	254	3
3	254	3
4	254	6
5	254	3
6	254	5
7	254	6
0	255	6
1	255	2
2	255	3
3	255	3
4	255	5
5	255	6
6	255	3
7	255	5
0	256	6
1	256	2
2	256	3
3	256	3
4	256	5
5	256	5
6	256	5
7	256	6
0	257	6
1	257	2
2	257	3
3	257	5
4	257	6
5	257	3
6	257	5
7	257	6
0	258	6
1	258	2
2	258	3
3	258	5
4	258	6
5	258	3
6	258	5
7	258	5
0	259	6
1	259	2
2	259	3
3	259	5
4	259	5
5	259	5
6	259	5
7	259	5
0	260	6
1	260	3
2	260	3
3	260	3
4	260	3
5	260	3
6	260	5
7	260	6
0	261	6
1	261	2
2	261	3
3	261	5
4	261	6
5	261	5
6	261	3
7	261	6
0	262	6
1	262	3
2	262	3
3	262	3
4	262	5
5	262	6
6	262	5
7	262	5
0	263	6
1	263	3
2	263	3
3	263	3
4	263	5
5	263	6
6	263	3
7	263	5
0	264	6
1	264	3
2	264	3
3	264	5
4	264	6
5	264	3
6	264	5
7	264	6
0	265	6
1	265	3
2	265	3
3	265	5
4	265	5
5	265	6
6	265	3
7	265	5
0	266	6
1	266	3
2	266	3
3	266	3
4	266	6
5	266	5
6	266	5
7	266	5
0	267	6
1	267	3
2	267	3
3	267	6
4	267	5
5	267	3
6	267	6
7	267	5
0	268	6
1	268	3
2	268	3
3	268	5
4	268	6
5	268	5
6	268	5
7	268	5
0	269	6
1	269	5
2	269	5
3	269	5
4	269	5
5	269	5
6	269	6
7	269	3
0	270	6
1	270	6
2	270	3
3	270	3
4	270	6
5	270	5
6	270	3
7	270	6
0	271	6
1	271	6
2	271	3
3	271	3
4	271	6
5	271	5
6	271	5
7	271	6
0	272	6
1	272	6
2	272	5
3	272	5
4	272	5
5	272	5
6	272	5
7	272	6
0	273	6
1	273	6
2	273	6
3	273	3
4	273	5
5	273	6
6	273	3
7	273	5
0	274	6
1	274	6
2	274	6
3	274	5
4	274	3
5	274	6
6	274	5
7	274	5
0	275	6
1	275	6
2	275	6
3	275	6
4	275	6
5	275	6
6	275	6
7	275	6
